A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.067954,0.135176,0.439322,-280.000000,-140.000000,140.000000
-0.081496,0.125538,0.431514,-140.000000,-420.000000,140.000000
-0.064904,0.109556,0.416264,-140.000000,-560.000000,0.000000
-0.009638,0.116144,0.442128,-280.000000,-420.000000,140.000000
0.049898,0.133102,0.458720,-420.000000,-140.000000,140.000000
0.100162,0.147132,0.457256,-420.000000,140.000000,280.000000
0.139812,0.165188,0.463600,-280.000000,280.000000,140.000000
0.152012,0.160674,0.459574,0.000000,280.000000,0.000000
0.155916,0.142496,0.468358,0.000000,280.000000,-140.000000
0.157990,0.108702,0.463966,-140.000000,280.000000,0.000000
0.156038,0.055144,0.456890,-280.000000,140.000000,0.000000
0.151280,-0.006466,0.393206,-420.000000,140.000000,-140.000000
0.149328,-0.062220,0.390278,-420.000000,0.000000,-280.000000
0.146766,-0.096746,0.438956,-420.000000,140.000000,-280.000000
0.150914,-0.109800,0.506056,-420.000000,280.000000,0.000000
0.151646,-0.113094,0.490928,-700.000000,420.000000,0.000000
0.154208,-0.111386,0.440176,-840.000000,280.000000,140.000000
0.154208,-0.095892,0.402112,-840.000000,140.000000,0.000000
0.154696,-0.077104,0.411262,-700.000000,140.000000,0.000000
0.163846,-0.072712,0.448594,-560.000000,420.000000,0.000000
0.173728,-0.088206,0.464698,-700.000000,700.000000,0.000000
0.182146,-0.122122,0.454938,-840.000000,560.000000,-140.000000
0.177998,-0.166774,0.446398,-700.000000,420.000000,-140.000000
0.171288,-0.219966,0.446520,-560.000000,0.000000,0.000000
0.162992,-0.276940,0.454084,-560.000000,-140.000000,0.000000
0.161894,-0.332694,0.463722,-560.000000,0.000000,0.000000
0.174338,-0.372100,0.473726,-560.000000,140.000000,0.000000
0.202642,-0.397720,0.480924,-700.000000,280.000000,-140.000000
0.245586,-0.409066,0.484828,-840.000000,280.000000,-140.000000
0.287798,-0.395280,0.500200,-840.000000,280.000000,-280.000000
0.328302,-0.377468,0.522404,-700.000000,280.000000,-280.000000
0.360876,-0.361852,0.539118,-420.000000,420.000000,-280.000000
0.389424,-0.362340,0.565226,-560.000000,280.000000,-140.000000
0.416874,-0.386618,0.596702,-700.000000,140.000000,-140.000000
0.444202,-0.426756,0.633058,-840.000000,-140.000000,-280.000000
