A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
0.671488,0.088328,0.557784,,,
0.681736,0.091256,0.553880,,,
0.677344,0.093208,0.548512,,,
0.667096,0.091744,0.555832,,,
0.667584,0.094184,0.555344,,,
0.663680,0.097112,0.552904,,,
0.665632,0.097112,0.558272,,,
0.665144,0.099552,0.557296,,,
0.663680,0.098576,0.559248,,,
0.667584,0.101016,0.561200,,,
0.662216,0.104920,0.562176,,,
0.656360,0.103456,0.567056,,,
0.659776,0.108336,0.563152,,,
0.658800,0.109800,0.566568,,,
0.655384,0.114680,0.569496,,,
0.649040,0.114680,0.568520,,,
0.650016,0.111264,0.567544,,,
0.648552,0.116632,0.569984,,,
0.641720,0.117608,0.576328,,,
0.643672,0.120536,0.578768,,,
0.642696,0.122488,0.577792,,,
0.639280,0.122488,0.577792,,,
0.644648,0.123464,0.579256,,,
0.642696,0.121512,0.581696,,,
0.640256,0.127856,0.584624,,,
0.635864,0.126392,0.583160,,,
0.632936,0.128344,0.586576,,,
0.641720,0.126880,0.591944,,,
0.639280,0.125904,0.592920,,,
0.638792,0.123952,0.588040,,,
0.631960,0.128344,0.589992,,,
0.632448,0.133224,0.588528,,,
0.642208,0.132736,0.586576,,,
0.629520,0.136152,0.595360,,,
0.629520,0.127368,0.595360,,,
0.638304,0.131760,0.592432,,,
0.632936,0.128344,0.595360,,,
0.631960,0.128344,0.593896,,,
0.630008,0.132248,0.593408,,,
0.629032,0.136640,0.593896,,,
0.624152,0.138104,0.599264,,,
0.626104,0.133224,0.602680,,,
0.635376,0.135664,0.601216,,,
0.631472,0.134688,0.601216,,,
0.629032,0.138104,0.594872,,,
0.625128,0.142008,0.600240,,,
0.623664,0.138592,0.605608,,,
0.624640,0.134688,0.603656,,,
0.622688,0.136640,0.606584,,,
0.622688,0.138104,0.605120,,,
0.620736,0.143960,0.604144,,,
0.619272,0.142496,0.609512,,,
0.617320,0.140056,0.614880,,,
0.623664,0.145912,0.615856,,,
0.620248,0.142984,0.615856,,,
0.621224,0.140544,0.611952,,,
0.622200,0.145424,0.612440,,,
0.618784,0.141032,0.617320,,,
0.619760,0.144448,0.611464,,,
0.618784,0.149328,0.611952,,,
0.621712,0.143960,0.617808,,,
0.621712,0.146888,0.616344,,,
0.618296,0.143472,0.618296,,,
0.618784,0.143472,0.616344,,,
0.617808,0.143960,0.610000,,,
0.610488,0.145912,0.615856,,,
0.613904,0.149816,0.616832,,,
0.616832,0.142496,0.616344,,,
0.619760,0.147864,0.619272,,,
0.619272,0.144936,0.622200,,,
0.612928,0.146400,0.624640,,,
0.610976,0.148840,0.622200,,,
0.611952,0.143960,0.629520,,,
0.615856,0.147864,0.630984,,,
0.610976,0.143960,0.634400,,,
0.606584,0.142496,0.639280,,,
0.613904,0.144448,0.637816,,,
0.615368,0.144936,0.639280,,,
0.613904,0.143960,0.640744,,,
0.612440,0.144448,0.646112,,,
0.608048,0.148352,0.649040,,,
0.607072,0.150792,0.649040,,,
0.608048,0.147376,0.645624,,,
0.609512,0.145912,0.644648,,,
