A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.005856,-0.000976,1.006744,-59360.000000,-124600.000000,-8260.000000
-0.009760,0.001464,1.007720,-57610.000000,-123340.000000,-7490.000000
-0.009272,-0.003904,1.005768,-55650.000000,-122290.000000,-6650.000000
-0.005856,-0.003416,1.003816,-53830.000000,-121310.000000,-5740.000000
-0.006832,0.000976,1.004304,-52080.000000,-120050.000000,-4970.000000
-0.005856,0.000000,1.010160,-50120.000000,-118930.000000,-4200.000000
-0.005856,0.002440,1.009184,-48300.000000,-117740.000000,-3360.000000
-0.006832,0.002928,1.001376,-46620.000000,-116480.000000,-2590.000000
-0.012688,0.001952,1.003816,-44940.000000,-115080.000000,-1890.000000
-0.009760,0.001464,1.009184,-43260.000000,-113960.000000,-1190.000000
-0.005856,0.000488,1.010648,-41510.000000,-112840.000000,-350.000000
-0.004880,0.001464,1.009184,-39970.000000,-111720.000000,210.000000
-0.009760,-0.000488,1.005768,-38150.000000,-110600.000000,840.000000
-0.012688,-0.001464,1.003816,-36260.000000,-109340.000000,1540.000000
-0.006344,0.002928,1.003816,-34720.000000,-108080.000000,2100.000000
-0.008784,-0.002440,1.000888,-33180.000000,-106750.000000,2800.000000
-0.013176,0.000488,1.005280,-31710.000000,-105490.000000,3500.000000
-0.008784,0.004392,1.004304,-30100.000000,-104300.000000,3990.000000
-0.012200,0.000000,1.002352,-28700.000000,-103180.000000,4620.000000
-0.012200,0.000488,0.999424,-27370.000000,-101990.000000,5180.000000
-0.010248,0.001464,1.008696,-25830.000000,-100730.000000,5950.000000
-0.010248,-0.000488,1.009672,-24360.000000,-99610.000000,6650.000000
-0.006344,-0.002928,0.996984,-23030.000000,-98560.000000,7210.000000
-0.005856,-0.000976,1.002840,-21700.000000,-97370.000000,7770.000000
-0.005856,-0.002440,1.010160,-20440.000000,-96110.000000,8400.000000
-0.008296,-0.001464,1.009672,-19320.000000,-94990.000000,9240.000000
-0.010248,0.002440,1.009184,-18130.000000,-93730.000000,9870.000000
-0.012688,0.004880,1.007720,-17150.000000,-92470.000000,10500.000000
-0.011224,0.001952,1.003816,-16030.000000,-91490.000000,11270.000000
-0.011224,0.001464,1.004792,-14630.000000,-90580.000000,12110.000000
-0.005368,-0.000488,1.006256,-13370.000000,-89600.000000,12600.000000
-0.004880,0.000000,1.002352,-12390.000000,-88550.000000,13160.000000
-0.007808,0.001952,1.002840,-11340.000000,-87290.000000,14000.000000
-0.007808,-0.003416,1.009184,-10360.000000,-86310.000000,14770.000000
-0.012200,-0.000976,1.005768,-9450.000000,-85470.000000,15610.000000
-0.010248,0.001464,1.006256,-8610.000000,-84070.000000,16450.000000
-0.009760,-0.002440,1.007720,-7770.000000,-82740.000000,17290.000000
-0.009272,0.000000,1.009672,-6860.000000,-81690.000000,18060.000000
-0.011224,0.002440,1.007232,-6020.000000,-80640.000000,18760.000000
-0.010736,-0.000976,1.013576,-5040.000000,-79590.000000,19740.000000
-0.007320,-0.002440,1.013576,-4130.000000,-78400.000000,20580.000000
-0.007320,-0.002440,1.002352,-3500.000000,-77350.000000,21280.000000
-0.012200,-0.000488,1.001864,-2730.000000,-76160.000000,22190.000000
-0.012200,-0.002440,1.005280,-1890.000000,-74830.000000,22820.000000
-0.012688,-0.001464,1.008696,-1050.000000,-73710.000000,23520.000000
-0.012200,0.000000,1.002840,-420.000000,-72590.000000,24500.000000
-0.010248,-0.002928,1.006256,280.000000,-71330.000000,25410.000000
-0.007320,-0.002928,1.009184,1050.000000,-70280.000000,26180.000000
-0.006344,-0.001952,1.007720,1540.000000,-69160.000000,26880.000000
-0.007808,-0.000488,1.007232,2100.000000,-67970.000000,27650.000000
-0.005368,0.003904,1.002840,2730.000000,-66570.000000,28420.000000
-0.008784,0.000488,0.998448,3360.000000,-65310.000000,29400.000000
-0.014152,0.003416,1.001864,3850.000000,-64050.000000,30380.000000
-0.009272,0.001464,1.006256,4270.000000,-62790.000000,31150.000000
-0.009272,-0.001464,1.007232,4830.000000,-61460.000000,31990.000000
-0.006832,0.000976,1.001376,5250.000000,-60060.000000,32830.000000
-0.005368,-0.006832,1.002840,5670.000000,-58730.000000,33530.000000
-0.014640,-0.002440,1.009184,6090.000000,-57400.000000,34230.000000
-0.009760,0.001464,1.009672,6580.000000,-56140.000000,35070.000000
-0.009272,0.001464,1.009184,6860.000000,-54810.000000,36050.000000
-0.012200,0.001952,1.006744,7350.000000,-53340.000000,36820.000000
