A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.001220,0.015128,1.006012,-700.000000,420.000000,0.000000
-0.002440,0.015494,1.007598,-700.000000,140.000000,0.000000
-0.001586,0.013786,1.006500,-700.000000,140.000000,0.000000
-0.003294,0.015616,1.005158,-700.000000,280.000000,140.000000
-0.001708,0.015616,1.006500,-560.000000,420.000000,140.000000
-0.002806,0.012932,1.006134,-560.000000,560.000000,0.000000
-0.002196,0.014152,1.006256,-560.000000,420.000000,-280.000000
-0.002318,0.015494,1.004670,-560.000000,420.000000,-280.000000
-0.000976,0.014030,1.005402,-560.000000,280.000000,-280.000000
-0.001586,0.014518,1.004426,-560.000000,0.000000,-140.000000
-0.000854,0.013664,1.004182,-560.000000,-280.000000,0.000000
-0.001830,0.014152,1.005768,-700.000000,-420.000000,0.000000
0.000610,0.014640,1.003816,-700.000000,-420.000000,0.000000
-0.002318,0.015128,1.005158,-560.000000,-140.000000,140.000000
-0.002806,0.012932,1.003206,-280.000000,140.000000,140.000000
-0.002196,0.012810,1.005524,-140.000000,140.000000,0.000000
-0.000976,0.013542,1.005158,-140.000000,0.000000,-140.000000
-0.002318,0.012932,1.004548,-280.000000,-140.000000,-280.000000
-0.001830,0.013542,1.005890,-420.000000,-280.000000,-280.000000
-0.002196,0.012810,1.004670,-420.000000,-140.000000,-280.000000
-0.001830,0.013054,1.007110,-560.000000,140.000000,-140.000000
-0.002684,0.014396,1.006256,-700.000000,280.000000,0.000000
-0.001586,0.012566,1.006744,-560.000000,420.000000,140.000000
-0.000854,0.013420,1.005524,-280.000000,420.000000,0.000000
-0.001098,0.014640,1.005280,-140.000000,420.000000,-140.000000
-0.000488,0.012932,1.007598,-140.000000,560.000000,-140.000000
-0.002196,0.011834,1.004060,-420.000000,560.000000,-140.000000
-0.000976,0.012078,1.006256,-560.000000,420.000000,0.000000
0.001220,0.011956,1.004304,-700.000000,420.000000,-140.000000
