A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
0.024888,-1.125816,0.155672,,,
0.022448,-1.126792,0.148840,,,
0.023424,-1.127768,0.142008,,,
0.023912,-1.130696,0.132736,,,
0.023424,-1.132160,0.130784,,,
0.018544,-1.139480,0.132248,,,
0.014640,-1.140456,0.129320,,,
0.013664,-1.137528,0.135664,,,
0.006832,-1.141432,0.138104,,,
0.011712,-1.141920,0.133224,,,
0.014640,-1.149728,0.142008,,,
0.013664,-1.152168,0.146400,,,
0.009760,-1.145824,0.143960,,,
0.000000,-1.150704,0.149328,,,
0.001464,-1.149728,0.144936,,,
0.002440,-1.136064,0.150304,,,
-0.004880,-1.138016,0.160064,,,
-0.001464,-1.141432,0.156160,,,
0.003416,-1.145336,0.159088,,,
-0.001464,-1.150704,0.163968,,,
-0.005368,-1.147776,0.162016,,,
-0.003904,-1.151680,0.163968,,,
-0.010736,-1.144360,0.169336,,,
-0.011224,-1.142896,0.169336,,,
-0.013664,-1.152656,0.165432,,,
-0.017080,-1.150216,0.164456,,,
-0.010736,-1.157048,0.166408,,,
-0.014640,-1.167296,0.167384,,,
-0.015616,-1.176080,0.163480,,,
-0.009272,-1.183888,0.154696,,,
-0.014640,-1.177056,0.150304,,,
-0.023912,-1.171200,0.152744,,,
-0.032208,-1.168272,0.155184,,,
-0.032696,-1.170224,0.161528,,,
-0.026840,-1.173152,0.171288,,,
-0.036112,-1.173152,0.175680,,,
-0.038552,-1.173152,0.173240,,,
-0.037576,-1.173152,0.174704,,,
-0.042944,-1.182424,0.171776,,,
-0.047824,-1.189744,0.162504,,,
-0.045872,-1.195112,0.166896,,,
-0.043432,-1.198528,0.165920,,,
-0.054656,-1.199504,0.160064,,,
-0.058072,-1.199992,0.155672,,,
-0.057096,-1.201456,0.149816,,,
-0.059536,-1.200968,0.155672,,,
-0.057584,-1.206336,0.158112,,,
-0.058072,-1.217560,0.158600,,,
-0.070272,-1.213656,0.158112,,,
-0.084912,-1.214632,0.156160,,,
-0.078080,-1.231224,0.150304,,,
-0.076128,-1.252696,0.139568,,,
-0.071248,-1.249768,0.145424,,,
-0.067832,-1.238056,0.153720,,,
-0.081008,-1.246840,0.150792,,,
-0.082960,-1.237568,0.157624,,,
-0.086376,-1.224880,0.166408,,,
-0.090280,-1.223904,0.169336,,,
-0.092232,-1.211216,0.179096,,,
-0.095648,-1.206824,0.198128,,,
-0.094672,-1.210728,0.204472,,,
-0.088816,-1.218048,0.205448,,,
-0.086864,-1.221952,0.214720,,,
-0.084424,-1.220976,0.216184,,,
-0.086864,-1.220000,0.226432,,,
-0.086864,-1.214632,0.231312,,,
-0.084912,-1.223416,0.223992,,,
-0.084912,-1.231712,0.225456,,,
-0.076128,-1.223416,0.231800,,,
-0.080520,-1.218536,0.235704,,,
