A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.044164,-0.242292,1.065426,-840.000000,140.000000,-420.000000
-0.018178,-0.217648,1.075308,-840.000000,140.000000,-420.000000
-0.008296,-0.177632,1.096780,-840.000000,140.000000,-140.000000
-0.015372,-0.146888,1.131672,-840.000000,140.000000,0.000000
-0.023302,-0.123464,1.155462,-840.000000,140.000000,140.000000
-0.023424,-0.100650,1.152900,-700.000000,140.000000,0.000000
-0.032574,-0.076860,1.153510,-560.000000,140.000000,0.000000
-0.047580,-0.058316,1.162416,-700.000000,140.000000,0.000000
-0.057096,-0.049288,1.155218,-700.000000,140.000000,0.000000
-0.065514,-0.051728,1.142286,-700.000000,140.000000,-140.000000
-0.083082,-0.065270,1.129110,-700.000000,0.000000,-140.000000
-0.118096,-0.084546,1.145946,-560.000000,0.000000,0.000000
-0.150426,-0.104554,1.192428,-560.000000,0.000000,140.000000
-0.178974,-0.125782,1.228784,-700.000000,0.000000,140.000000
-0.195566,-0.144326,1.258430,-840.000000,140.000000,0.000000
-0.200446,-0.161406,1.281610,-980.000000,140.000000,-280.000000
-0.209108,-0.169092,1.298324,-980.000000,140.000000,-420.000000
-0.212280,-0.160064,1.309060,-840.000000,0.000000,-280.000000
-0.223382,-0.143472,1.326018,-700.000000,0.000000,0.000000
-0.225090,-0.138714,1.310036,-560.000000,0.000000,140.000000
-0.216916,-0.141886,1.304424,-420.000000,0.000000,280.000000
-0.212280,-0.154330,1.292712,-280.000000,140.000000,280.000000
-0.212524,-0.168848,1.316014,-280.000000,140.000000,140.000000
-0.257786,-0.188612,1.345172,-280.000000,280.000000,0.000000
-0.264252,-0.177754,1.351516,-420.000000,280.000000,0.000000
-0.175924,-0.148840,1.303326,-560.000000,420.000000,0.000000
-0.110898,-0.135542,1.259284,-700.000000,420.000000,0.000000
-0.103090,-0.125050,1.240374,-700.000000,420.000000,140.000000
-0.120292,-0.106628,1.206214,-840.000000,280.000000,140.000000
-0.137982,-0.079666,1.164368,-840.000000,280.000000,0.000000
-0.172020,-0.055022,1.141798,-980.000000,280.000000,-280.000000
-0.209596,-0.039162,1.143506,-1120.000000,280.000000,-280.000000
-0.246806,-0.020496,1.164734,-1120.000000,420.000000,-140.000000
-0.274134,-0.006710,1.184254,-1120.000000,420.000000,-140.000000
-0.291580,0.010004,1.233054,-980.000000,280.000000,-140.000000
-0.288042,0.016348,1.268068,-840.000000,140.000000,-280.000000
-0.294508,0.015006,1.287588,-840.000000,140.000000,-280.000000
-0.287310,0.018178,1.260138,-840.000000,140.000000,-140.000000
-0.297314,0.024888,1.184254,-980.000000,280.000000,0.000000
-0.313662,0.029890,1.120448,-980.000000,420.000000,0.000000
-0.346724,0.050752,1.041026,-1120.000000,560.000000,140.000000
-0.370392,0.056364,0.974658,-980.000000,560.000000,0.000000
-0.381250,0.043310,0.917074,-980.000000,420.000000,-140.000000
-0.354288,0.032574,0.881084,-840.000000,280.000000,-280.000000
-0.332084,0.032818,0.855220,-840.000000,140.000000,-280.000000
-0.316468,0.039040,0.853024,-700.000000,0.000000,-280.000000
-0.313296,0.044774,0.902556,-560.000000,-140.000000,-140.000000
-0.318420,0.045506,0.939888,-420.000000,-280.000000,-140.000000
-0.344894,0.046848,0.971364,-560.000000,-140.000000,-280.000000
-0.379908,0.056364,1.002230,-560.000000,0.000000,-280.000000
-0.410774,0.059292,0.997106,-560.000000,-140.000000,-140.000000
-0.430294,0.065880,0.990884,-420.000000,-140.000000,-140.000000
-0.452742,0.074298,0.987712,-560.000000,0.000000,0.000000
-0.469822,0.088572,0.965508,-560.000000,140.000000,-140.000000
-0.461038,0.097112,0.930494,-700.000000,140.000000,-140.000000
-0.444324,0.095038,0.922442,-840.000000,140.000000,-140.000000
-0.419680,0.085888,0.902922,-840.000000,280.000000,-140.000000
-0.391132,0.079666,0.876570,-840.000000,420.000000,-140.000000
-0.378444,0.073566,0.862296,-840.000000,420.000000,0.000000
-0.383812,0.072102,0.853634,-840.000000,420.000000,0.000000
-0.388814,0.066612,0.854122,-700.000000,560.000000,0.000000
-0.392108,0.054168,0.846802,-560.000000,560.000000,140.000000
-0.397842,0.042456,0.825696,-420.000000,420.000000,0.000000
-0.418460,0.034526,0.828136,-280.000000,280.000000,-140.000000
-0.494588,0.020740,0.822158,-140.000000,280.000000,-280.000000
-0.487512,0.042334,0.805688,0.000000,420.000000,-420.000000
-0.348432,0.101992,0.795928,0.000000,560.000000,-140.000000
-0.267302,0.125904,0.774944,0.000000,560.000000,0.000000
-0.242048,0.135420,0.765794,-140.000000,420.000000,0.000000
-0.260592,0.142130,0.761158,-560.000000,280.000000,-140.000000
-0.295606,0.150182,0.767746,-840.000000,280.000000,-140.000000
-0.310856,0.158600,0.769942,-700.000000,280.000000,140.000000
-0.316346,0.149328,0.762744,-280.000000,140.000000,140.000000
-0.298534,0.162382,0.759328,0.000000,140.000000,0.000000
-0.269742,0.201300,0.752862,140.000000,0.000000,0.000000
-0.264130,0.250100,0.739686,0.000000,140.000000,140.000000
-0.317444,0.290116,0.726510,-280.000000,140.000000,140.000000
-0.378078,0.325008,0.723338,-560.000000,0.000000,140.000000
-0.432490,0.307318,0.704794,-840.000000,-280.000000,140.000000
-0.468846,0.280478,0.690154,-1120.000000,-280.000000,140.000000
-0.471286,0.256444,0.697962,-1120.000000,-140.000000,140.000000
-0.437614,0.228628,0.706014,-1120.000000,-140.000000,0.000000
-0.370758,0.210572,0.712114,-980.000000,-140.000000,0.000000
-0.301218,0.209962,0.698328,-840.000000,-280.000000,-140.000000
-0.244244,0.222284,0.669780,-700.000000,-140.000000,-280.000000
-0.213134,0.238876,0.647332,-840.000000,0.000000,-280.000000
-0.209718,0.258762,0.636840,-840.000000,140.000000,-140.000000
-0.222040,0.268278,0.643916,-840.000000,280.000000,0.000000
-0.241072,0.262544,0.656482,-700.000000,280.000000,-140.000000
-0.266448,0.241560,0.662948,-560.000000,280.000000,-420.000000
-0.286944,0.210450,0.656726,-560.000000,280.000000,-560.000000
-0.295118,0.181048,0.644892,-560.000000,280.000000,-420.000000
-0.288896,0.154330,0.631594,-560.000000,280.000000,-280.000000
-0.274744,0.135908,0.616954,-560.000000,140.000000,-140.000000
-0.259372,0.123098,0.605120,-560.000000,280.000000,140.000000
-0.245220,0.109922,0.594994,-700.000000,280.000000,280.000000
-0.233020,0.096380,0.595482,-840.000000,280.000000,140.000000
-0.222284,0.082716,0.595238,-980.000000,420.000000,0.000000
-0.215452,0.067222,0.595360,-840.000000,420.000000,-140.000000
-0.206302,0.051362,0.599874,-560.000000,280.000000,0.000000
-0.194834,0.035136,0.600972,-280.000000,280.000000,140.000000
-0.176534,0.020374,0.601338,-280.000000,140.000000,140.000000
-0.154452,0.011834,0.599996,-420.000000,140.000000,0.000000
-0.129442,0.007076,0.601704,-560.000000,140.000000,-140.000000
-0.107360,0.005002,0.605242,-840.000000,140.000000,-280.000000
-0.089914,-0.002440,0.608902,-980.000000,140.000000,-420.000000
-0.075030,-0.011712,0.610366,-840.000000,280.000000,-280.000000
-0.062098,-0.029280,0.618906,-420.000000,420.000000,0.000000
-0.052338,-0.046116,0.627324,-140.000000,280.000000,140.000000
-0.041968,-0.066490,0.637572,-140.000000,280.000000,0.000000
-0.036356,-0.084546,0.644038,-280.000000,140.000000,0.000000
-0.030012,-0.099674,0.653554,-420.000000,0.000000,140.000000
-0.029158,-0.113094,0.659776,-560.000000,0.000000,140.000000
-0.024278,-0.125294,0.671244,-420.000000,-140.000000,140.000000
-0.025620,-0.136884,0.680638,-420.000000,-140.000000,140.000000
-0.018056,-0.153232,0.688324,-560.000000,-280.000000,0.000000
-0.012078,-0.165920,0.698084,-700.000000,-280.000000,0.000000
-0.007686,-0.178730,0.703940,-840.000000,-280.000000,140.000000
-0.004392,-0.189588,0.713212,-840.000000,-280.000000,140.000000
-0.001708,-0.204228,0.717970,-840.000000,0.000000,0.000000
-0.002074,-0.217648,0.717238,-700.000000,280.000000,-140.000000
0.003050,-0.235582,0.716994,-560.000000,420.000000,0.000000
0.005490,-0.255834,0.710772,-420.000000,560.000000,140.000000
0.007930,-0.276330,0.704062,-280.000000,560.000000,280.000000
0.019520,-0.279502,0.715652,-420.000000,560.000000,140.000000
0.034404,-0.275720,0.735782,-700.000000,420.000000,0.000000
0.050874,-0.263642,0.751032,-700.000000,140.000000,0.000000
0.060146,-0.254004,0.759450,-700.000000,140.000000,0.000000
0.058316,-0.240950,0.761036,-560.000000,140.000000,0.000000
0.055266,-0.215696,0.768966,-420.000000,140.000000,0.000000
0.038186,-0.219600,0.774578,-280.000000,280.000000,0.000000
0.011956,-0.226920,0.756278,-140.000000,280.000000,0.000000
-0.005002,-0.221552,0.770430,-140.000000,280.000000,140.000000
-0.011224,-0.219722,0.775188,-280.000000,140.000000,280.000000
-0.008296,-0.223016,0.775554,-420.000000,140.000000,280.000000
0.007076,-0.224602,0.777750,-560.000000,140.000000,280.000000
0.029646,-0.232898,0.784582,-700.000000,140.000000,140.000000
0.049898,-0.241804,0.789584,-700.000000,280.000000,0.000000
0.062220,-0.247538,0.808494,-700.000000,280.000000,-140.000000
0.066124,-0.252784,0.822158,-700.000000,280.000000,-140.000000
0.066856,-0.261324,0.837774,-700.000000,140.000000,0.000000
0.058804,-0.272304,0.852902,-840.000000,-140.000000,0.000000
0.050508,-0.280844,0.867542,-840.000000,-140.000000,140.000000
0.041724,-0.285236,0.882548,-700.000000,-280.000000,140.000000
0.035746,-0.283528,0.898164,-700.000000,-280.000000,140.000000
0.035868,-0.280112,0.917440,-700.000000,-280.000000,140.000000
0.040992,-0.278282,0.929030,-840.000000,0.000000,140.000000
0.047092,-0.279380,0.949892,-700.000000,280.000000,0.000000
0.055022,-0.281210,0.971242,-560.000000,140.000000,-140.000000
0.056730,-0.287554,0.992714,-280.000000,0.000000,-280.000000
0.051850,-0.294142,1.012478,-280.000000,-280.000000,-280.000000
0.044408,-0.303414,1.029070,-420.000000,-420.000000,-140.000000
0.036722,-0.314272,1.041270,-420.000000,-140.000000,-140.000000
0.029402,-0.325130,1.048346,-560.000000,140.000000,0.000000
0.020984,-0.334646,1.057862,-560.000000,280.000000,0.000000
0.014274,-0.335622,1.063352,-420.000000,140.000000,-140.000000
0.011346,-0.338794,1.071160,-280.000000,-140.000000,-140.000000
0.008418,-0.340502,1.074942,-280.000000,-280.000000,0.000000
0.010370,-0.344162,1.082506,-420.000000,-280.000000,140.000000
0.007442,-0.347456,1.092388,-700.000000,0.000000,0.000000
0.003294,-0.349164,1.105320,-840.000000,0.000000,0.000000
-0.003660,-0.349042,1.118252,-980.000000,140.000000,140.000000
-0.014396,-0.345504,1.132160,-980.000000,280.000000,140.000000
-0.021106,-0.360022,1.138138,-840.000000,280.000000,0.000000
-0.036478,-0.411872,1.136552,-840.000000,280.000000,-140.000000
-0.134078,-0.297436,1.163636,-840.000000,140.000000,-140.000000
-0.067466,-0.372832,1.107272,-700.000000,140.000000,0.000000
-0.030378,-0.368440,1.167540,-420.000000,140.000000,140.000000
-0.086498,-0.295850,1.226954,-140.000000,140.000000,140.000000
-0.143228,-0.264374,1.253550,-140.000000,140.000000,280.000000
-0.143716,-0.288530,1.237324,-700.000000,140.000000,280.000000
-0.125904,-0.312930,1.227686,-1120.000000,280.000000,280.000000
-0.122000,-0.321958,1.223294,-980.000000,280.000000,140.000000
-0.132736,-0.318664,1.216828,-560.000000,420.000000,0.000000
-0.152622,-0.310490,1.214144,-280.000000,560.000000,-140.000000
-0.176778,-0.292678,1.224514,-280.000000,560.000000,-280.000000
-0.197640,-0.281942,1.240984,-420.000000,560.000000,-280.000000
-0.203374,-0.286212,1.254160,-700.000000,560.000000,-280.000000
-0.214720,-0.290360,1.266116,-840.000000,560.000000,-140.000000
-0.231312,-0.291092,1.284416,-840.000000,560.000000,-140.000000
-0.243024,-0.292922,1.313086,-700.000000,560.000000,-140.000000
-0.242048,-0.294508,1.325896,-560.000000,420.000000,-140.000000
-0.238998,-0.292312,1.336876,-560.000000,280.000000,-140.000000
-0.246806,-0.281454,1.349442,-700.000000,140.000000,-280.000000
-0.258396,-0.267790,1.357982,-700.000000,140.000000,-280.000000
-0.266936,-0.259494,1.364936,-560.000000,280.000000,-280.000000
-0.277794,-0.252662,1.363594,-280.000000,420.000000,-140.000000
-0.281210,-0.247904,1.361032,0.000000,280.000000,-140.000000
-0.288286,-0.243878,1.361520,0.000000,140.000000,-280.000000
-0.298778,-0.237534,1.361154,-280.000000,140.000000,-280.000000
-0.310124,-0.231922,1.356030,-560.000000,0.000000,-280.000000
-0.320006,-0.223748,1.353468,-560.000000,0.000000,-280.000000
-0.337330,-0.217770,1.349930,-560.000000,140.000000,-140.000000
-0.352336,-0.210938,1.344562,-420.000000,420.000000,-140.000000
-0.382592,-0.209352,1.334314,-420.000000,420.000000,0.000000
-0.450668,-0.217038,1.313818,-560.000000,420.000000,0.000000
-0.402112,-0.169458,1.337486,-560.000000,420.000000,-140.000000
-0.318664,-0.123464,1.358592,-420.000000,140.000000,-140.000000
-0.275964,-0.111508,1.358470,-280.000000,140.000000,-140.000000
-0.285236,-0.112362,1.338462,-280.000000,140.000000,-140.000000
-0.316468,-0.102724,1.317478,-420.000000,0.000000,-140.000000
-0.356850,-0.086986,1.299422,-560.000000,0.000000,-140.000000
-0.388204,-0.073444,1.287222,-560.000000,-140.000000,-140.000000
-0.401624,-0.064294,1.282586,-420.000000,0.000000,-140.000000
-0.393694,-0.067344,1.280878,-420.000000,0.000000,0.000000
-0.380762,-0.073688,1.277218,-560.000000,0.000000,140.000000
-0.374906,-0.073932,1.277340,-840.000000,0.000000,0.000000
-0.367464,-0.074908,1.277828,-840.000000,0.000000,0.000000
-0.361120,-0.078080,1.278926,-840.000000,0.000000,0.000000
-0.352824,-0.081496,1.272216,-700.000000,-140.000000,-140.000000
-0.345870,-0.083204,1.260138,-560.000000,-140.000000,-140.000000
-0.338794,-0.079300,1.246230,-420.000000,140.000000,-280.000000
-0.331718,-0.073932,1.231224,-420.000000,280.000000,-420.000000
-0.327204,-0.065270,1.217926,-700.000000,420.000000,-280.000000
-0.327326,-0.053314,1.184620,-980.000000,280.000000,-140.000000
-0.330742,-0.040382,1.172908,-1120.000000,140.000000,0.000000
-0.333182,-0.031720,1.157902,-980.000000,0.000000,140.000000
-0.337330,-0.025986,1.138992,-840.000000,-140.000000,140.000000
-0.340746,-0.022204,1.127158,-840.000000,-140.000000,280.000000
-0.340990,-0.016714,1.112396,-840.000000,0.000000,280.000000
-0.341722,-0.013298,1.100562,-840.000000,140.000000,140.000000
-0.344284,-0.009516,1.088606,-700.000000,280.000000,0.000000
-0.341356,-0.008418,1.077748,-560.000000,560.000000,0.000000
-0.338794,-0.001586,1.064938,-420.000000,700.000000,-140.000000
-0.341478,0.003294,1.053592,-280.000000,700.000000,-140.000000
-0.344040,0.008662,1.039562,-140.000000,420.000000,0.000000
-0.341722,0.013664,1.025532,-140.000000,140.000000,0.000000
-0.341112,0.018422,1.006256,-280.000000,0.000000,-140.000000
-0.351116,0.027084,0.996130,-560.000000,0.000000,-280.000000
-0.365024,0.028914,0.983686,-700.000000,280.000000,-140.000000
-0.446032,0.006344,0.951234,-700.000000,420.000000,0.000000
-0.461892,0.018178,0.967460,-700.000000,420.000000,140.000000
-0.324520,0.076616,0.977098,-700.000000,280.000000,0.000000
-0.265960,0.091866,0.968802,-840.000000,0.000000,-280.000000
-0.260104,0.084546,0.939278,-980.000000,0.000000,-280.000000
-0.275842,0.090280,0.914634,-980.000000,0.000000,-280.000000
-0.302804,0.107848,0.893772,-840.000000,0.000000,-280.000000
-0.330986,0.127124,0.881084,-700.000000,140.000000,-140.000000
-0.343796,0.142252,0.876692,-700.000000,0.000000,-140.000000
-0.337696,0.149084,0.872544,-700.000000,-280.000000,0.000000
-0.327692,0.156038,0.869738,-560.000000,-280.000000,0.000000
-0.323544,0.157868,0.864980,-560.000000,-140.000000,0.000000
-0.323422,0.158966,0.854976,-560.000000,0.000000,0.000000
-0.326106,0.157136,0.840458,-700.000000,140.000000,0.000000
-0.328058,0.158234,0.829234,-700.000000,140.000000,-140.000000
-0.326838,0.156282,0.815204,-420.000000,140.000000,-140.000000
-0.323422,0.151036,0.801540,-420.000000,140.000000,-140.000000
-0.319762,0.144570,0.788486,-560.000000,140.000000,-140.000000
-0.314760,0.139202,0.780312,-700.000000,280.000000,-140.000000
-0.312442,0.135664,0.770918,-840.000000,280.000000,0.000000
-0.310368,0.139568,0.755180,-840.000000,0.000000,0.000000
-0.302194,0.142740,0.754570,-840.000000,-140.000000,140.000000
-0.298900,0.143960,0.749446,-700.000000,-140.000000,140.000000
-0.304268,0.147132,0.741150,-420.000000,0.000000,280.000000
-0.311710,0.156526,0.733342,-280.000000,140.000000,280.000000
-0.317078,0.160918,0.715652,-140.000000,280.000000,280.000000
-0.316102,0.167140,0.695766,-140.000000,280.000000,140.000000
-0.308538,0.173606,0.680394,-280.000000,280.000000,0.000000
-0.299022,0.177510,0.668072,-420.000000,140.000000,-140.000000
-0.291214,0.178120,0.667462,-560.000000,280.000000,0.000000
-0.286456,0.174826,0.668682,-560.000000,280.000000,140.000000
-0.286578,0.169092,0.664656,-700.000000,420.000000,280.000000
-0.289872,0.160430,0.655994,-700.000000,420.000000,280.000000
-0.292800,0.153964,0.642696,-700.000000,280.000000,140.000000
-0.293410,0.153720,0.630008,-560.000000,140.000000,0.000000
-0.293532,0.156526,0.619394,-420.000000,140.000000,-140.000000
-0.290360,0.160552,0.612318,-420.000000,280.000000,-280.000000
-0.284870,0.164578,0.606462,-560.000000,420.000000,-280.000000
-0.279868,0.171044,0.602680,-700.000000,560.000000,-280.000000
-0.273280,0.177754,0.597922,-840.000000,560.000000,-280.000000
-0.264252,0.182146,0.587674,-840.000000,560.000000,-280.000000
-0.256444,0.185196,0.577548,-840.000000,560.000000,-280.000000
-0.251076,0.191662,0.565104,-840.000000,560.000000,-280.000000
-0.249368,0.195810,0.554612,-560.000000,420.000000,-280.000000
-0.242902,0.200568,0.546438,-420.000000,140.000000,-140.000000
-0.237168,0.205814,0.535458,-420.000000,0.000000,-140.000000
-0.231922,0.207522,0.522160,-420.000000,0.000000,-140.000000
-0.228262,0.209840,0.509716,-420.000000,140.000000,-140.000000
-0.223138,0.212402,0.495076,-420.000000,140.000000,-140.000000
-0.220454,0.211060,0.485926,-280.000000,140.000000,-140.000000
